4096	10.55	39.25	0	-1	-1
4097	10.55	49.98	0	0	3.82
4098	10.55	60.13	0	0	3.01
4099	10.55	64.77	0	0	1.46
4100	10.55	67.19	0	0	1.2
4101	10.55	71.06	0	0	1.09
4102	10.55	73.99	0	1.19	0.63
4103	10.55	76.55	0	2.75	1.03
4104	10.55	80.41	0	5.47	0.26
4105	10.55	83.71	0	9.03	0
4106	10.55	84.33	0.04	12.56	0.26
4107	10.55	86.11	0.07	14.81	1.02
4108	10.55	85.84	0.92	17.93	0.94
4109	10.55	87.3	1.49	21.59	1.09
4110	10.55	87.38	1.91	22.37	1.57
4111	10.55	84.98	2.92	23.17	3.09
4112	10.55	84.12	3.71	21.84	1.76
4113	10.55	80.13	4.75	20.29	1.42
4114	10.55	76.01	6.46	17.92	1.78
4115	10.55	70.56	8.31	14.7	0
4116	10.55	63.68	10.49	10.94	1.31
4117	10.55	57.16	13.13	7.1	2.15
4118	10.55	48.19	16.1	4.8	1.71
4119	10.55	39.78	19.23	3.94	1.79
4120	10.55	30.64	22.33	3.25	2.55
4121	10.55	23.22	23.8	2.84	5.13
4122	10.55	17.11	25.09	3.09	6.91
4123	10.55	13.36	25.8	3.29	10.91
4124	10.55	9.99	24.11	3.54	15.62
4125	10.55	7.24	21.56	3.1	24.34
4126	10.55	5.31	18.89	3.46	33.33
4127	10.55	3.83	14.84	4.08	42.46
4128	10.55	2.75	12.05	4.41	49.62
4129	10.55	1.93	10.12	5.88	47.93
4130	10.55	1.23	7.08	7.93	45.96
4131	10.55	0.8	5.02	7.84	46.14
4132	10.55	0.36	3.62	10	36.44
4133	10.55	0	2	9.94	29.84
4134	10.55	0	1.19	12.67	21.27
4135	10.55	0	0.62	15.49	17.16
4136	10.55	0	0	17.05	10.75
4137	10.55	0	0	16.91	9.76
4138	10.55	0	0	17.44	9.28
4139	10.55	0	0	18.94	11.02
4140	10.55	0	0.04	18.21	12.3
4141	10.55	0	0.74	18.14	10.94
4142	10.55	0	0.86	17.48	9.66
4143	10.55	0	0.07	12.61	8.04
4144	10.55	0	0	6.47	2.3
4145	10.55	0	0	2.13	0
					
					
8192	24.225	21.97	-1	-1	-1
8193	24.225	49.22	0	0	25.48
8194	24.225	53.45	0	0	17.67
8195	24.225	63.32	0	0	20.16
8196	24.225	71.77	0.05	0	20.94
8197	24.225	82.14	0.03	0	20.05
8198	24.225	87.08	0.3	0.28	18.5
8199	24.225	92.86	0.19	1.3	17.46
8200	24.225	98.91	0.18	2.72	18.16
8201	24.225	101.3	0.31	4.25	16.6
8202	24.225	107.32	0.36	7.13	15.54
8203	24.225	110.54	0	9.65	15.78
8204	24.225	113.3	0	14.47	15
8205	24.225	119.74	0	19.48	13.6
8206	24.225	121.37	0	24.33	13.38
8207	24.225	123.91	0	31.44	12.76
8208	24.225	125.83	0	37.89	12.5
8209	24.225	127.69	0	43.65	11.87
8210	24.225	130.58	0	50.6	11.78
8211	24.225	132.68	0	57.32	10.73
8212	24.225	133.83	0.28	62.84	8.88
8213	24.225	136.18	0.19	66.27	8.52
8214	24.225	136.92	0.48	70.03	6.67
8215	24.225	139.44	0.51	73.62	5.68
8216	24.225	141.95	0.86	75.17	4.65
8217	24.225	140.44	1.12	77.95	3.59
8218	24.225	142.1	1.38	78.92	2.37
8219	24.225	143.62	1.94	79.91	1.8
8220	24.225	144.46	2.44	78.9	1.41
8221	24.225	144.33	2.7	77.91	1.16
8222	24.225	143.73	3.29	76.3	1.15
8223	24.225	142.96	3.99	75.08	0.63
8224	24.225	142.7	5.05	72.42	0.59
8225	24.225	140.47	6.51	67.44	0.5
8226	24.225	138.65	7.71	61.6	0.09
8227	24.225	136.58	9.56	55.8	0.25
8228	24.225	132.55	12.15	48.68	0
8229	24.225	127.89	14.32	41.44	0
8230	24.225	123.35	17.72	34.72	0
8231	24.225	119.45	21.85	26.65	0.08
8232	24.225	112.31	27.24	21.23	0.23
8233	24.225	104.02	32.77	15.06	0
8234	24.225	95.34	39.42	11.02	0.19
8235	24.225	86.09	46.49	7.75	0
8236	24.225	75.35	54.6	5.06	0.27
8237	24.225	64.48	62.14	3.61	0.14
8238	24.225	54.31	67.99	2.9	0.1
8239	24.225	45.23	75.3	2.1	0.27
8240	24.225	36.12	81.64	1.34	0.82
8241	24.225	28.34	86.81	0.94	2.04
8242	24.225	22.03	92.03	0.8	2.01
8243	24.225	17.23	94.53	0.37	3.19
8244	24.225	13.25	95.09	0.55	4.74
8245	24.225	10.38	96.97	0.46	8.47
8246	24.225	7.89	96.21	0.3	9.74
8247	24.225	5.94	95.29	0.02	14.47
8248	24.225	4.66	91.39	0	20.24
8249	24.225	3.45	87.12	0	27.41
8250	24.225	2.6	80.54	0	35.42
8251	24.225	1.78	72.98	0	43.34
8252	24.225	1.18	64.82	0.01	52.9
8253	24.225	0.72	55.85	0.33	60.34
8254	24.225	0.28	47.65	0.92	65.79
8255	24.225	0	38.91	1.7	72.82
8256	24.225	0	31.46	3.41	74.57
8257	24.225	0	24.4	4.97	75.59
8258	24.225	0	18.83	7.1	75.47
8259	24.225	0	15.05	10.14	74.89
8260	24.225	0	11.56	14.78	72.44
8261	24.225	0	9.11	17.99	67.3
8262	24.225	0	7.14	22.63	61.57
8263	24.225	0	5.67	29.46	55.64
8264	24.225	0	4.28	33.53	49.27
8265	24.225	0	3.3	39.87	41.11
8266	24.225	0	2.27	45.64	33.59
8267	24.225	0	1.91	51.32	27.66
8268	24.225	0	1.49	55.86	22.22
8269	24.225	0	1.12	59.33	16.94
8270	24.225	0	0.62	61.94	12.62
8271	24.225	0	0.6	63.25	10.38
8272	24.225	0	0.35	65.71	7.1
8273	24.225	0.17	0	64.04	5.81
8274	24.225	0.41	0	63.03	4.27
8275	24.225	0.91	0	60.55	3.05
8276	24.225	1.46	0	56.28	2.55
8277	24.225	1.84	0	52.03	1.76
8278	24.225	2.35	0	48.48	1.35
8279	24.225	2.83	0.12	44.33	1.44
8280	24.225	3.46	0.09	40.9	1.22
8281	24.225	4.04	0.36	37.6	0.76
8282	24.225	4.5	0.5	33.77	0.76
8283	24.225	4.96	0.44	29.99	0.7
8284	24.225	5.21	0.52	26.61	0.01
8285	24.225	5	0.48	23.27	0
8286	24.225	5.27	0.37	19.66	0
8287	24.225	5.35	0	17.29	0
8288	24.225	5.22	0	14.18	0
8289	24.225	4.1	0	10.79	0
8290	24.225	2.9	0	11	0
8291	24.225	0.64	-1	-1	-1
					
					
8192	30.475	43.9	0	0	20.89
8193	30.475	54.68	0	0	22.83
8194	30.475	53.2	0	0	35.09
8195	30.475	61.92	0	0	34.39
8196	30.475	70.29	0	0	34.79
8197	30.475	78.4	0	0	34.75
8198	30.475	84.64	0	0	33.24
8199	30.475	92.5	0	0.7	32.8
8200	30.475	98.47	0.14	2.19	30.91
8201	30.475	111.38	0.34	3.37	27.76
8202	30.475	114.32	0.16	5.23	28.16
8203	30.475	121.83	0.05	8.1	23.09
8204	30.475	125.7	0.11	12.83	20.27
8205	30.475	132.22	0.27	17.51	17.64
8206	30.475	136.56	0.33	24.17	17.85
8207	30.475	143.27	0.23	31.74	13.41
8208	30.475	149.57	0.18	40.2	11.55
8209	30.475	153.54	0.22	49.48	9.36
8210	30.475	157.57	0.38	59.27	9.09
8211	30.475	159.47	0.52	65.65	7.63
8212	30.475	162.28	0.35	73.88	6.35
